player,player_id,ht_in_in,wt,birth_date,colleges,from_season,to_season,debut,hof,n_seasons,lg,teams,pos,career_g,career_gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,career_mp,career_fg,career_fga,career_x3p,career_x3pa,career_x2p,career_x2pa,career_ft,career_fta,career_orb,career_drb,career_trb,career_ast,career_stl,career_blk,career_tov,career_pf,career_pts,career_trp_dbl,career_per,career_ts_percent,career_x3p_ar,career_f_tr,career_orb_percent,career_drb_percent,career_trb_percent,career_ast_percent,career_stl_percent,career_blk_percent,career_tov_percent,career_usg_percent,career_ows,career_dws,career_ws,career_ws_48,career_obpm,career_dbpm,career_bpm,career_vorp,career_fg_per_100_poss,career_fga_per_100_poss,career_x3p_per_100_poss,career_x3pa_per_100_poss,career_x2p_per_100_poss,career_x2pa_per_100_poss,career_ft_per_100_poss,career_fta_per_100_poss,career_orb_per_100_poss,career_drb_per_100_poss,career_trb_per_100_poss,career_ast_per_100_poss,career_stl_per_100_poss,career_blk_per_100_poss,career_tov_per_100_poss,career_pf_per_100_poss,career_pts_per_100_poss,career_o_rtg,career_d_rtg,career_pg_percent,career_sg_percent,career_sf_percent,career_pf_percent,career_c_percent,career_on_court_plus_minus_per_100_poss,career_net_plus_minus_per_100_poss,career_bad_pass_turnover,career_lost_ball_turnover,career_shooting_foul_committed,career_offensive_foul_committed,career_shooting_foul_drawn,career_offensive_foul_drawn,career_points_generated_by_assists,career_and1,career_fga_blocked,career_avg_dist_fga,career_percent_fga_from_x0_3_range,career_percent_fga_from_x3_10_range,career_percent_fga_from_x10_16_range,career_percent_fga_from_x16_3p_range,career_percent_fga_from_x3p_range,career_fg_percent_from_x0_3_range,career_fg_percent_from_x3_10_range,career_fg_percent_from_x10_16_range,career_fg_percent_from_x16_3p_range,career_percent_assisted_x2p_fg,career_percent_assisted_x3p_fg,career_percent_dunks_of_fga,career_num_of_dunks,career_percent_corner_3s_of_3pa,career_corner_3_point_percent,career_num_heaves_attempted,career_num_heaves_made,career_CHMP_count,career_FMVP_count,career_all_star_count,career_all_defense_share_mean,career_all_nba_share_mean,career_all_rookie_share_mean,career_all_defense_1st_count,career_all_defense_2nd_count,career_all_defense_ORV_count,career_all_nba_1T_count,career_all_nba_2T_count,career_all_nba_3T_count,career_all_nba_ORV_count,career_all_rookie_1st_count,career_all_rookie_2nd_count,career_all_rookie_ORV_count,career_mvp_winner_count,career_mvp_share_mean,career_roy_winner_count,career_roy_share_sum,career_smoy_winner_count,career_smoy_share_mean,career_mip_winner_count,career_mip_share_mean,career_dpoy_winner_count,career_dpoy_share_mean,career_clutch_poy_winner_count,career_clutch_poy_share_mean,from,to,experience,career_percent_fga_from_x2p_range
Slater Martin,martisl01,70,170.0,1925-10-22,Texas,1950,1959,1949-11-02T00:00:00Z,True,10,NBA,"MNL, NYK, STL",PG,681,,29.56387665198238,3.656387665198238,10.045521292217327,0.36398187399502996,,,,,,,,2.878120411160059,3.7665198237885464,0.7641325536062378,,,3.105726872246696,4.155653450807636,,,,3.0308370044052864,10.190895741556535,20133.0,2490,6841,,,,,1960,2565,,,2115.0,2830,,,,2064.0,6940,1.0,11.798211890925346,0.44127616351264104,,0.3881834301892415,,,,,,,,,18.2,27.1,45.39999999999999,0.08941047037202603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,7,,,,,,,0,5,,,,,,0,0.0,0,0.0,,,,,,,,,1950,1960,10,
Vern Mikkelsen,mikkeve01,79,230.0,1928-10-21,Hamline University,1950,1959,1949-11-02T00:00:00Z,True,10,NBA,MNL,PF,699,,26.38483547925608,5.074391988555079,12.606580829756796,0.4025192918747163,,,,,,,,4.247496423462088,5.542203147353362,0.7663913267940113,,,8.49785407725322,2.167381974248927,,,,4.022889842632332,14.396280400572246,18443.0,3547,8812,,,,,2969,3874,,,5940.0,1515,,,,2812.0,10063,0.0,18.725424280214714,0.4829078783278209,,0.4592404164181533,,,,,,,,,48.4,35.0,83.3,0.1700133926150843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,,,,,,,0,4,,,,,,0,0.002,0,0.0,,,,,,,,,1950,1959,10,
Dolph Schayes,schaydo01,80,220.0,1928-05-19,NYU,1950,1959,1949-11-03T00:00:00Z,True,10,NBA,SYR,PF,696,,29.862068965517242,5.971264367816092,15.693965517241379,0.38048155268699074,,,,,,,,7.163793103448276,8.53735632183908,0.8391114102995625,,,12.08764367816092,3.1278735632183907,,,,3.5244252873563218,19.10632183908046,20784.0,4156,10923,,,,,4986,5942,,,8413.0,2177,,,,2453.0,13298,2.0,23.877554849884525,0.49430893956889915,,0.53917672247883,,,,,,,,,73.7,45.1,118.90000000000002,0.2214899923017706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,,,,,6,10,,,,,,0,0.17075,0,0.0,,,,,,,,,1950,1964,10,
Bill Sharman,sharmbi01,73,175.0,1926-05-25,USC,1951,1960,1950-10-31T00:00:00Z,True,10,NBA,"WSC, BOS",SG,650,,31.161538461538463,6.735384615384615,15.815384615384616,0.42587548638132294,,,,,,,,4.512307692307692,5.124615384615384,0.8805163614530171,,,3.953846153846154,3.0076923076923077,,,,2.766153846153846,17.983076923076922,20255.0,4378,10280,,,,,2933,3331,,,2570.0,1955,,,,1798.0,11689,0.0,18.38608738583066,0.5013411997037768,,0.33686309553196736,,,,,,,,,58.7,18.700000000000003,77.4,0.17903915082695632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,8,,,,,,,4,7,,,,,,0,0.010600000000000002,0,0.0,,,,,,,,,1951,1961,10,
Bob Cousy,cousybo01,73,175.0,1928-08-09,Holy Cross,1951,1960,1950-11-01T00:00:00Z,True,10,NBA,BOS,PG,690,,34.165217391304346,6.956521739130435,18.715942028985506,0.37168963915130865,,,,,,,,5.505797101449275,6.768115942028985,0.813490364025696,,,5.791304347826087,7.621739130434783,,,,2.5,19.418840579710146,23574.0,4800,12914,,,,,3799,4670,,,3996.0,5259,,,,1725.0,13399,31.0,20.531191142784422,0.4515170102655468,,0.37231085093747357,,,,,,,,,38.9,33.4,72.2,0.13928438109781963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10,,,,,,,9,9,,,,,,1,0.16219999999999998,0,0.0,,,,,,,,,1951,1970,10,
Larry Foust,foustla01,81,215.0,1928-06-24,La Salle,1951,1960,1950-11-01T00:00:00Z,False,10,NBA,"FTW, MNL, STL",C,692,,28.221098265895954,4.936416184971098,12.271676300578035,0.4022609514837494,,,,,,,,4.71242774566474,6.401734104046243,0.736117381489842,,,10.583815028901734,1.7528901734104045,,,,3.667630057803468,14.585260115606937,19529.0,3416,8492,,,,,3261,4430,,,7324.0,1213,,,,2538.0,10093,0.0,20.510353832761535,0.4912631471145476,,0.5330775769368631,,,,,,,,,47.3,25.6,72.9,0.16819550412207487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8,,,,,,,1,2,,,,,,0,0.0,0,0.0,,,,,,,,,1951,1962,10,
Paul Arizin,arizipa01,76,190.0,1928-04-09,Villanova,1951,1962,1950-11-04T00:00:00Z,True,10,NBA,PHW,SF,713,,34.918653576437585,7.893408134642356,18.72931276297335,0.42144675752583494,,,,,,,,7.026647966339411,8.680224403927069,0.8095007270964615,,,8.596072931276296,2.335203366058906,,,,3.8765778401122017,22.813464235624124,24897.0,5628,13354,,,,,5010,6189,,,6129.0,1665,,,,2764.0,16266,0.0,19.772442462947343,0.5057636261396956,,0.45651572478611885,,,,,,,,,82.30000000000001,26.700000000000003,108.8,0.1831868096557818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,,,,,3,4,,,,,,0,0.07057142857142858,1,0.0,,,,,,,,,1951,1962,10,
Clyde Lovellette,lovelcl01,81,234.0,1929-09-07,Kansas,1954,1963,1953-10-30T00:00:00Z,True,10,NBA,"MNL, CIN, STL, BOS",C,659,,28.282245827010623,7.065250379362671,15.918057663125948,0.4438512869399428,,,,,,,,3.5417298937784523,4.679817905918058,0.7568093385214008,,,9.9195751138088,1.6282245827010622,,,,3.3216995447647952,17.672230652503792,18638.0,4656,10490,,,,,2334,3084,,,6537.0,1073,,,,2189.0,11646,0.0,21.785084236506066,0.4905701792037772,,0.29557404227921447,,,,,,,,,44.9,24.3,69.29999999999998,0.17846142289945277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,0,1,,,0,,0,0,0.0017499999999999998,0,0.0,,,,,,,,,1954,1964,10,
Bob Pettit,pettibo01,81,205.0,1932-12-12,LSU,1955,1964,1954-10-30T00:00:00Z,True,10,NBA,"MLH, STL",PF,742,,38.99730458221024,9.370619946091644,21.494609164420485,0.4359520973101762,,,,,,,,7.884097035040432,10.39622641509434,0.7583614207933627,,,16.47978436657682,3.0202156334231804,,,,3.183288409703504,26.62533692722372,28936.0,6953,15949,,,,,5850,7714,,,12228.0,2241,,,,2362.0,19756,2.0,25.62257395631739,0.5103295548797346,,0.48279731130771364,,,,,,,,,87.4,41.699999999999996,129.0,0.21397038291401715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,,,,,10,10,,,0,,0,2,0.2968888888888889,1,0.0,,,,,,,,,1955,1965,10,
Red Kerr,kerrre01,81,230.0,1932-07-17,Illinois,1955,1964,1954-10-31T00:00:00Z,False,10,NBA,"SYR, PHI",C,754,,32.10079575596817,5.781167108753316,13.720159151193634,0.4213629772837119,,,,,,,,3.086206896551724,4.2824933687002655,0.7206565500154847,,,11.876657824933687,2.0981432360742707,,,,2.6618037135278514,14.648541114058355,24204.0,4359,10345,,,,,2327,3229,,,8955.0,1582,,,,2007.0,11045,2.0,17.15282184762849,0.469709428193687,,0.31304139811601384,,,,,,,,,25.000000000000004,32.800000000000004,57.6,0.11451152702032723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,0,0,,,0,,0,0,0.0028888888888888888,0,0.0,,,,,,,,,1955,1966,10,
